date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:25:55	78243/78243	---M-Z	200	added ('OK')	text/html	etag:W/%22e13ff29aa5974c6d16d77f612f1c6468%22	https://www.trustinitiative.org/	C:/Users/spgrant/Desktop/TRUST%20Initiative/TRUST%20Initiative/www.trustinitiative.org/index.html	(from )
09:25:55	507/507	---M-Z	200	added ('OK')	text/plain	date:Sun,%2026%20Jul%202026%2004:26:21%20GMT	https://www.trustinitiative.org/robots.txt		(from )
09:25:56	0/0	---M--	301	error ('Moved%20Permanently')	image/jpeg	date:Mon,%2027%20Jul%202026%2013:23:51%20GMT	http://static1.squarespace.com/static/5b60db67c3c16aa19c8f234f/t/5b69eba51ae6cf402871d8ee/1533668264419/TRUST+Logo+3.001.jpeg?format=1500w	C:/Users/spgrant/Desktop/TRUST%20Initiative/TRUST%20Initiative/static1.squarespace.com/static/5b60db67c3c16aa19c8f234f/t/5b69eba51ae6cf402871d8ee/1533668264419/TRUST+Logo+3.001.026f7.delayed	(from https://www.trustinitiative.org/)
09:25:58	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	C:/Users/spgrant/Desktop/TRUST%20Initiative/TRUST%20Initiative/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://www.trustinitiative.org/)
09:25:58	3682/3682	---M-Z	200	added ('OK')	text/javascript	etag:%2272644a843ade9eddc002bed02dbb1b24%22	http://assets.squarespace.com/universal/scripts-compressed/visitor-site-error-reporter-aa199afcf7c87a38-min.en-US.js	C:/Users/spgrant/Desktop/TRUST%20Initiative/TRUST%20Initiative/assets.squarespace.com/universal/scripts-compressed/visitor-site-error-reporter-aa199afcf7c87a38-min.en-US.js	(from https://www.trustinitiative.org/)
09:25:58	22209/22209	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2027%20Jul%202026%2013:23:52%20GMT	http://use.typekit.net/ik/QP0WbISNCliFFrC8w3SmuejMLqDN1F2tKpy3-qgraevfelJ2fFHN4UJLFRbh52jhWDmKFRgqjRjajDFRwQZyjQIojDycwRwXZy7qMPG0ZAU8Seyyd1bl-W4TSkuGZAiyO1FUiABkZWF3jAF8OcFzdPU8dem3-eB0ifuTSc8DOAy8ZhI0SaBujW48Sagyjh90jhNlOeUzjhBC-eNDifUXS1mDie80-WsTjWsTic90da41OYiaiko8dem3-eB0ifuTSc8DOAy8ZhI0SaBujW48Sagyjh90jhNlOYiaikoXS1mDie80-WsTjWsTic90da41J6U3ScNt-AuyOAozicIKfAZuiYmkjPu3ifJ4ShNc-AIlSY4zH6qJtKGbMg62JMJ7fbKzMsMMeMb6MKGHfO2IMsMMeM96MKG4fJCgIMMjgkMfH6qJtkGbMg6FJMJ7fbKwMsMMegI6MKG4fJsmIMIjgfMfH6qJ6m9bMs6YJMJ7fbKBmsMgeMt6MKG4fJ4mIMIjIPMfH6GJhnvgIMJjIkMfH6GJa_vgIMJjMkMfH6GJt_vgIMJjgfMfH6GJtdvgIMJjgPMfH6GJodvgIMJjgKMfH6GJh_vgIMJjgkMfH6GJhdvgIMJjfPMfH6GJEOvgIMJjIfMfH6GJaOvgIMJjIPMfqMYuqTdSgb.js	C:/Users/spgrant/Desktop/TRUST%20Initiative/TRUST%20Initiative/use.typekit.net/ik/QP0WbISNCliFFrC8w3SmuejMLqDN1F2tKpy3-qgraevfelJ2fFHN4UJLFRbh52jhWDmKFRgqjRjajDFRwQZyjQIojDycwRwXZy7qMPG0ZAU8Seyyd1bl-W4TSkuGZAiyO1FUiABkZWF3jAF8OcFzdPU8dem3-e	(from https://www.trustinitiative.org/)
09:26:02	50912/50912	---M-Z	200	added ('OK')	text/javascript	etag:%2206897717394152836d791e3e3267a3c8%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-70c7e4feeb1558bd-min.en-US.js	C:/Users/spgrant/Desktop/TRUST%20Initiative/TRUST%20Initiative/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-70c7e4feeb1558bd-min.en-US.js	(from https://www.trustinitiative.org/)
09:26:03	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	C:/Users/spgrant/Desktop/TRUST%20Initiative/TRUST%20Initiative/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://www.trustinitiative.org/)
09:26:05	91769/91769	---M-Z	200	added ('OK')	text/javascript	etag:%22a3689a0baf518190096b11d9a8ca1477%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-553be5b17e9a9bde-min.en-US.js	C:/Users/spgrant/Desktop/TRUST%20Initiative/TRUST%20Initiative/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-553be5b17e9a9bde-min.en-US.js	(from https://www.trustinitiative.org/)
09:26:08	857800/857800	---M-Z	200	added ('OK')	text/javascript	etag:%22f1003a24d9c6b098e6429062b9774997%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-a5cfdec1ae227f33-min.en-US.js	C:/Users/spgrant/Desktop/TRUST%20Initiative/TRUST%20Initiative/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-a5cfdec1ae227f33-min.en-US.js	(from https://www.trustinitiative.org/)
